ID,Gender,Age,FieldOfStudy,FieldOfStudy_Other,CourseLanguage,UseCollabTools,Teams,Zoom,GoogleWorkspace,Slack,Trello,Notion,Miro,Mural,GitHub,Monday,Asana,Jira,OtherCollaborationTools,UseOtherTools,UserFriendliness,Functionality,Integration,Scalability,Cost,PrivacySecurity,Reliability,Mobility,Customizability,Feedback,Accessibility,Reputation,ImpactOnCollaboration,ImpactOnOrganization,ImpactOnCoordination,ImpactOnCommunication,ImpactOnParticipation,ImpactOnMotivation,SatisfactionWithToolsVariety,EffectiveToolIntegration,AdequacyOfTraining,EffectivenessOfSupport,InvolvementInDecisionMaking,ChallengeTechnicalIssues,ChallengeFamiliarity,ChallengeCommunication,ChallengeEngagement,ChallengeOrganization,ChallengePrivacySecurity,ChallengeSupportTraining,OtherDifficulties,ImpactOnAcademicPerformance,AdditionalComments
60,Male,30-34,Communication and Media Studies,,English,Yes,Weekly,Less frequently,Less frequently,Never,Never,Never,Never,Never,Never,Never,Less frequently,Never,Never,,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,,,
61,Male,25-29,Business and Economics,,(Swiss-)German,Yes,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less frequently,Never,,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,,Moderately,
62,Female,20-24,Other,Health,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Several times a week,Webex,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Rarely,Rarely,Sometimes,Sometimes,Rarely,Often,Rarely,"there are three different ones my school uses and it confuses me sometimes, which one for what",Slightly,
63,Female,20-24,Social Sciences,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,"Synchronisation findet nicht immer gleich gut statt. So haben Personen dasselbe Dokument geöffnet, jedoch sind gewisse Aspekte vorhanden oder eben nicht mehr, da es bereits weiterbearbeitet wurde.",Moderately,
64,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,,
65,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,,Slightly,
66,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Less frequently,Never,Never,Never,Less frequently,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,,Moderately,
67,Female,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Often,,Slightly,
68,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Never,Several times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Microsoft Journal,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Agree,Agree,Neutral,Neutral,Strongly disagree,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Moderately,
69,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,
70,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,,Moderately,
71,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Weekly,Never,Never,Never,Daily,Less frequently,Never,Never,Never,Never,Never,Weekly,"Menti-Meter, Canva, ",Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Disagree,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,,Moderately,
72,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Never,Never,Never,Never,Less frequently,Never,Never,Less frequently,Never,Never,Never,Daily,Discord,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Often,Never,Never,Often,,Very,
73,Female,30-34,Social Sciences,,(Swiss-)German,Yes,Less frequently,Less frequently,Weekly,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Sometimes,Rarely,Rarely,Rarely,Often,Rarely,Sometimes,,Slightly,
74,Female,20-24,Social Sciences,,(Swiss-)German,Yes,Daily,Less frequently,Weekly,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Female,25-29,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Weekly,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Sometimes,Rarely,Rarely,Often,Never,Never,Never,,Moderately,
77,Male,20-24,Communication and Media Studies,,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,,,,,,,,,,,,,,,,,,,,,
79,Female,over 35 years,Social Sciences,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,-,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,-,Moderately,-
81,Female,20-24,Communication and Media Studies,,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Very,
82,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Less frequently,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,,Slightly,
84,Male,20-24,Other,Business IT,(Swiss-)German,Yes,Weekly,Never,Never,Never,Never,Never,Never,Never,Less frequently,Never,Never,Never,Less frequently,Discord,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,,Moderately,
86,Male,25-29,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,nope,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly disagree,Never,Rarely,Rarely,Rarely,Never,Never,Rarely,,Moderately,
87,Male,30-34,Life Sciences and Medicine,,English,Yes,Daily,Weekly,Less frequently,Less frequently,Never,Never,Several times a week,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Strongly disagree,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,,Very,
88,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,Webex,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Often,Sometimes,Often,Often,Very often,Sometimes,Sometimes,,Not at all,
90,Male,25-29,Other,Facility Management,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly disagree,Sometimes,Sometimes,Never,Sometimes,Rarely,Never,Rarely,,Very,
92,Female,30-34,Life Sciences and Medicine,,(Swiss-)German,Yes,Daily,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Less frequently,Never,Never,,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,,Very,
93,Female,25-29,,Applied linguistics,(Swiss-)German,Yes,Several times a week,Less frequently,Weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Weekly,Moodle,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Moderately,
94,Female,25-29,Business and Economics,,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Female,20-24,Other,Physiotherapy,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,,Not at all,
96,Male,over 35 years,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Less frequently,Weekly,Never,Never,Never,Less frequently,Never,Daily,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Sometimes,Rarely,Never,Never,Very often,Never,Rarely,We are forced to use Teams and its a terrible tool,Moderately,
97,Female,over 35 years,Business and Economics,,(Swiss-)German,Yes,Weekly,Weekly,Weekly,Less frequently,Less frequently,Less frequently,Weekly,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,
98,Male,20-24,Other,Wirtschaftsinformatik,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Daily,Never,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Female,20-24,Other,Midwifery,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Several times a week,Quizlet,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Strongly disagree,,,,,,,,,,,,,,,,,,,,,
100,Male,30-34,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Female,30-34,Life Sciences and Medicine,,(Swiss-)German,Yes,Weekly,Never,Daily,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Weekly,"Canva, good notes",Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,,Very,
102,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Weekly,Never,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Weekly,Mahara,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Rarely,Sometimes,Never,Never,Rarely,Never,Rarely,,Moderately,
103,Female,20-24,Other,Health and Prevention,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Moodle,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Often,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,,Slightly,
104,Female,20-24,Other,Health,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Often,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,,Extremely,
105,Male,20-24,Other,Nursing,(Swiss-)German,Yes,Weekly,Weekly,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less frequently,Webex,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Strongly disagree,Sometimes,Rarely,Sometimes,Sometimes,Often,Rarely,Rarely,,Slightly,
106,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Less frequently,Weekly,Never,Never,Daily,Less frequently,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Strongly disagree,Sometimes,Often,Often,Rarely,Rarely,Never,Sometimes,,Moderately,
107,Male,25-29,Business and Economics,,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Never,Never,Never,Several times a week,Never,Never,Never,Never,,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Rarely,Sometimes,Often,Sometimes,Rarely,Never,Sometimes,,Moderately,
108,Female,25-29,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Weekly,Never,Never,Never,Never,Less frequently,Never,Never,Never,Several times a week,Never,Never,,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Strongly disagree,Sometimes,Rarely,Never,Never,Rarely,Never,Never,,Very,
109,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Weekly,Several times a week,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Less frequently,"padlet, menti",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Often,Sometimes,Often,Very often,Sometimes,Never,Rarely,social lonelyness increase,Moderately,
110,Female,25-29,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Weekly,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,no,Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,,Very,
111,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Never,Never,Rarely,Never,Never,,Very,
112,Male,25-29,Other,Wirtschaftsinformatik,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,,Very,
113,Male,25-29,Other,Architecture ,(Swiss-)German,Yes,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes,Rarely,,Slightly,
114,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Less frequently,Never,Several times a week,Never,Never,Never,Never,,Neutral,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Rarely,Rarely,Never,Rarely,Never,Rarely,Sometimes,,Very,
115,Female,20-24,Law,,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,,Moderately,
116,Male,25-29,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Weekly,Never,Less frequently,Never,Never,Never,Less frequently,Never,Weekly,Never,Never,Never,Several times a week,whatsapp,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly disagree,Often,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,no,Moderately,
117,Female,20-24,Life Sciences and Medicine,,(Swiss-)German,Yes,Several times a week,Weekly,Less frequently,Never,Never,Never,Weekly,Never,Never,Never,Never,Never,Never,Webex,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Strongly disagree,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,,Moderately,
118,Female,20-24,Law,,(Swiss-)German,Yes,Several times a week,Never,Never,Never,Never,Never,Never,Less frequently,Less frequently,Never,Less frequently,Less frequently,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,,Moderately,
119,Female,20-24,Communication and Media Studies,,(Swiss-)German,Yes,Weekly,Less frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,
120,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Daily,Never,Weekly,Never,Never,Never,Never,Never,Several times a week,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Strongly disagree,Sometimes,Rarely,Rarely,Sometimes,Often,Never,Rarely,,Moderately,
121,Male,20-24,Business and Economics,,(Swiss-)German,Yes,Daily,Less frequently,Never,Never,Never,Never,Less frequently,Never,Never,Never,Never,Never,Daily,"Webex, Moodle",Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Rarely,Rarely,Often,Often,Sometimes,Never,Rarely,,Very,
122,Other,30-34,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Less frequently,Never,Never,Never,Never,Several times a week,Never,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,,,,,,,,,,
123,Male,20-24,"Science, Technology, Engineering and Mathematics",,(Swiss-)German,Yes,Several times a week,Less frequently,Less frequently,Never,Never,Several times a week,Less frequently,Never,Daily,Never,Never,Never,Daily,WhatsApp,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Often,Never,Sometimes,Rarely,Sometimes,Rarely,Never,,Very,The new Teams and Outlook are very instable and thus not so attractive anymore. 
